relationship_id	relationship_name	is_hierarchical	defines_ancestry	reverse_relationship_id	relationship_concept_id
ATC to VA Class eq	ATC to VA Class equivalent (NDF-RT)	0	0	VA Class to ATC eq	45754836
NDFRT to ATC eq	NDFRT to ATC equivalent (NDF-RT)	0	0	ATC to NDFRT eq	45754837
ATC to NDFRT eq	ATC to NDFRT equivalent (NDF-RT)	0	0	NDFRT to ATC eq	45754838
VA Class to NDFRT eq	VA Class to NDFRT equivalent (NDF-RT)	0	0	NDFRT to VA Class eq	45754839
NDFRT to VA Class eq	NDFRT to VA Class equivalent (NDF-RT)	0	0	VA Class to NDFRT eq	45754840
Chem to Prep eq	Chemical Structure to Pharmaceutical Preparation equivalent (NDF-RT)	1	0	Prep to Chem eq	45754841
Prep to Chem eq	Pharmaceutical Preparation to Chemical Structure equivalent (NDF-RT)	0	0	Chem to Prep eq	45754842
SNOMED - RxNorm eq	SNOMED to RxNorm equivalent (RxNorm)	0	0	RxNorm - SNOMED eq	45754843
RxNorm - SNOMED eq	RxNorm to SNOMED equivalent (RxNorm)	0	0	SNOMED - RxNorm eq	45754844
SNOMED - NDFRT eq	SNOMED to NDF-RT equivalent (RxNorm)	0	0	NDFRT - SNOMED eq	45754845
NDFRT - SNOMED eq	NDF-RT to SNOMED equivalent (RxNorm)	0	0	SNOMED - NDFRT eq	45754846
SNOMED - VA Class eq	SNOMED to VA Class equivalent (RxNorm)	0	0	VA Class - SNOMED eq	45754847
VA Class - SNOMED eq	VA Class to SNOMED equivalent (RxNorm)	0	0	SNOMED - VA Class eq	45754848
SNOMED - ATC eq	SNOMED to ATC equivalent (RxNorm)	0	0	ATC - SNOMED eq	45754849
ATC - SNOMED eq	ATC to SNOMED equivalent (RxNorm)	0	0	SNOMED - ATC eq	45754850
Has product comp	Has product component (NDF-RT)	1	0	Product comp of	45754851
Product comp of	Product component of (NDF-RT)	1	1	Has product comp	45754852
SPL - RxNorm	SPL to RxNorm (NLM)	1	1	RxNorm - SPL	45754866
RxNorm - SPL	RxNorm to SPL (NLM)	1	0	SPL - RxNorm	45754867
Maps to operator	Non-standard to operator concept map (OMOP)	0	0	Operator mapped from	45754883
Operator mapped from	Operator concept to non-standard map (OMOP)	0	0	Maps to operator	45754884
Maps to number	Non-standard to value_as_number map (OMOP)	0	0	Number mapped from	45754885
Number mapped from	Value_as_number to non-standard map (OMOP)	0	0	Maps to number	45754886
LOINC replaced by	Concept replaced by (LOINC)	0	0	LOINC replaces	44818714
Has precise ing	Has precise ingredient (RxNorm)	0	0	Precise ing of	44818715
Has tradename	Has tradename (RxNorm)	0	1	Tradename of	44818716
RxNorm has dose form	Has dose form (RxNorm)	1	0	RxNorm dose form of	44818717
Has form	Has form (RxNorm)	0	0	Form of	44818718
RxNorm has ing	Has ingredient (RxNorm)	1	0	RxNorm ing of	44818719
Constitutes	Constitutes (RxNorm)	1	1	Consists of	44818720
Contains	Contains (RxNorm)	1	0	Contained in	44818721
Reformulation of	Reformulation of (RxNorm)	0	0	Reformulated in	44818722
Subsumes	Subsumes	1	1	Is a	44818723
NDFRT has dose form	Has dose form (NDF-RT)	1	0	NDFRT dose form of	44818724
Induces	Induces (NDF-RT)	1	0	Induced by	44818725
May diagnose	May diagnose (NDF-RT)	1	0	Diagnosed through	44818726
Has physio effect	Has physiological effect (NDF-RT)	1	0	Physiol effect by	44818727
Has CI physio effect	Has contraindicating physiological effect (NDF-RT)	1	0	CI physiol effect by	44818728
NDFRT has ing	Has ingredient (NDF-RT)	1	0	NDFRT ing of	44818729
Has CI chem class	Has contraindicating chemical class (NDF-RT)	1	0	CI chem class of	44818730
Has MoA	Has mechanism of action (NDF-RT)	1	0	MoA of	44818731
Has CI MoA	Has contraindicating mechanism of action (NDF-RT)	1	0	CI MoA of	44818732
Has PK	Has pharmacokinetics (NDF-RT)	1	0	PK of	44818733
May treat	May treat (NDF-RT)	1	0	May be treated by	44818734
CI to	Contraindication to (NDF-RT)	1	0	CI by	44818735
May prevent	May prevent (NDF-RT)	1	0	May be prevented by	44818736
Has metabolites	Has active metabolites (NDF-RT)	1	0	Metabolite of	44818737
Has metabolism	Has site of metabolism (NDF-RT)	1	0	Metabolism of	44818738
May be inhibited by	Effect may be inhibited by (NDF-RT)	1	0	Inhibits effect	44818739
Has chem structure	Has chemical structure (NDF-RT)	1	0	Chem structure of	44818740
NDFRT - RxNorm eq	NDF-RT to RxNorm equivalent (RxNorm)	1	1	RxNorm - NDFRT eq	44818741
Has recipient cat	Has recipient category (SNOMED)	0	0	Recipient cat of	44818742
Has proc site	Has procedure site (SNOMED)	0	0	Proc site of	44818743
Has priority	Has priority (SNOMED)	0	0	Priority of	44818744
Has pathology	Has pathological process (SNOMED)	0	0	Pathology of	44818745
Has part of	Has part of (SNOMED)	0	0	Part of	44818746
Has severity	Has severity (SNOMED)	0	0	Severity of	44818747
Has revision status	Has revision status (SNOMED)	0	0	Revision status of	44818748
Has access	Has access (SNOMED)	0	0	Access of	44818749
Has occurrence	Has occurrence (SNOMED)	0	0	Occurrence of	44818750
Has method	Has method (SNOMED)	0	0	Method of	44818751
Has laterality	Has laterality (SNOMED)	0	0	Laterality of	44818752
Has interprets	Has interprets (SNOMED)	0	0	Interprets of	44818753
Has indir morph	Has indirect morphology (SNOMED)	0	0	Indir morph of	44818754
Has indir device	Has indirect device (SNOMED)	0	0	Indir device of	44818755
Has specimen	Has specimen (SNOMED)	0	0	Specimen of	44818756
Has interpretation	Has interpretation (SNOMED)	0	0	Interpretation of	44818757
Has intent	Has intent (SNOMED)	0	0	Intent of	44818758
Has focus	Has focus (SNOMED)	0	0	Focus of	44818759
Has manifestation	Has definitional manifestation (SNOMED)	0	0	Manifestation of	44818760
Has active ing	Has active ingredient (SNOMED)	0	0	Active ing of	44818761
Has finding site	Has finding site (SNOMED)	0	0	Finding site of	44818762
Has episodicity	Has episodicity (SNOMED)	0	0	Episodicity of	44818763
Has dir subst	Has direct substance (SNOMED)	0	0	Dir subst of	44818764
Has dir morph	Has direct morphology (SNOMED)	0	0	Dir morph of	44818765
Has dir device	Has direct device (SNOMED)	0	0	Dir device of	44818766
Has component	Has component (SNOMED)	0	0	Component of	44818767
Has causative agent	Has causative agent (SNOMED)	0	0	Causative agent of	44818768
Has asso morph	Has associated morphology (SNOMED)	0	0	Asso morph of	44818769
Has asso finding	Has associated finding (SNOMED)	0	0	Asso finding of	44818770
Has measurement	Has measurement method (SNOMED)	0	0	Measurement of	44818771
Has property	Has property (SNOMED)	0	0	Property of	44818772
Has scale type	Has scale type (SNOMED)	0	0	Scale type of	44818773
